pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.371653,0.280742,-2.1012,0.0134792,-0.422018,0.280742,All
-0.370812,0.283063,-2.10077,0.0135897,-0.419996,0.283063,All
-0.367945,0.285383,-2.09515,0.0137001,-0.410349,0.285383,All
-0.36714,0.287703,-2.09363,0.0138106,-0.403597,0.287703,All
-0.363804,0.290023,-2.09232,0.0139211,-0.401194,0.290023,All
-0.361482,0.292343,-2.08999,0.0140316,-0.394624,0.292343,All
-0.361053,0.294664,-2.08757,0.0141421,-0.390557,0.294664,All
-0.359039,0.296984,-2.08252,0.0142526,-0.383722,0.296984,All
-0.355017,0.299304,-2.07837,0.0143631,-0.381342,0.299304,All
-0.346238,0.301624,-2.07484,0.0144735,-0.379804,0.301624,All
-0.345599,0.303944,-2.07207,0.014584,-0.379706,0.303944,All
-0.332711,0.306265,-2.06916,0.0146945,-0.371484,0.306265,All
-0.316796,0.308585,-2.05795,0.014805,-0.370703,0.308585,All
-0.310154,0.310905,-2.05152,0.0149155,-0.369393,0.310905,All
-0.290145,0.313225,-2.0515,0.015026,-0.350787,0.313225,All
-0.285426,0.315545,-2.05136,0.0151364,-0.34219,0.315545,All
-0.284725,0.317865,-2.04919,0.0152469,-0.34021,0.317865,All
-0.279512,0.320186,-2.04898,0.0153574,-0.337061,0.320186,All
-0.273451,0.322506,-2.0478,0.0154679,-0.333823,0.322506,All
-0.270132,0.324826,-2.04279,0.0155784,-0.333327,0.324826,All
-0.26887,0.327146,-2.04014,0.0156889,-0.321266,0.327146,All
-0.267268,0.329466,-2.03539,0.0157994,-0.318071,0.329466,All
-0.267079,0.331787,-2.03368,0.0159098,-0.317012,0.331787,All
-0.252642,0.334107,-2.02904,0.0160203,-0.314945,0.334107,All
-0.250681,0.336427,-2.02802,0.0161308,-0.305126,0.336427,All
-0.234112,0.338747,-2.0245,0.0162413,-0.301631,0.338747,All
-0.230789,0.341067,-2.02142,0.0163518,-0.296186,0.341067,All
-0.219796,0.343387,-2.01686,0.0164623,-0.296157,0.343387,All
-0.218586,0.345708,-2.01527,0.0165728,-0.285443,0.345708,All
-0.212713,0.348028,-2.01486,0.0166832,-0.283807,0.348028,All
-0.211038,0.350348,-2.0135,0.0167937,-0.283206,0.350348,All
-0.207972,0.352668,-2.01331,0.0169042,-0.280466,0.352668,All
-0.204354,0.354988,-2.01253,0.0170147,-0.279358,0.354988,All
-0.203476,0.357309,-2.01242,0.0171252,-0.272451,0.357309,All
-0.202663,0.359629,-2.01171,0.0172357,-0.267378,0.359629,All
