time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
14,0.110281,14,0.0431387,14,0.0705418,2.10403,0.0996687,-0.199899,0.089223,2.10403,0.0578211,All
14.4545,0.130079,14.4545,0.0411112,14.4545,0.0931732,2.23266,0.100212,-0.0178051,0.0823441,2.23266,0.059739,All
14.9091,0.149878,14.9091,0.0390837,14.9091,0.115805,2.36128,0.101123,0.164289,0.0524589,2.36128,0.062007,All
15.3636,0.156685,15.3636,0.00877819,15.3636,0.120693,2.48991,0.106648,0.346383,0.00869862,2.48991,0.0686489,All
15.8182,0.160244,15.8182,-0.0285969,15.8182,0.121145,2.61853,0.10172,0.528476,-0.0375566,2.61853,0.0649259,All
16.2727,0.166021,16.2727,-0.0197428,16.2727,0.124422,2.74716,0.0924845,0.71057,-0.076351,2.74716,0.0569535,All
16.7273,0.173277,16.7273,0.0199308,16.7273,0.129584,2.87579,0.064537,0.892664,-0.0971946,2.87579,0.0303507,All
17.1818,0.179166,17.1818,0.0379776,17.1818,0.133648,3.00441,0.0112631,1.07476,-0.0862446,3.00441,-0.0217743,All
17.6364,0.183008,17.6364,0.0235844,17.6364,0.136067,3.13304,-0.0303494,1.25685,-0.0385341,3.13304,-0.0625378,All
18.0909,0.190842,18.0909,0.00964717,18.0909,0.143079,3.26166,-0.0453817,1.43895,-0.0116676,3.26166,-0.0770486,All
18.5455,0.214649,18.5455,-0.0024661,18.5455,0.168466,3.39029,0.018445,1.62104,-0.0148578,3.39029,-0.0141316,All
19,0.238457,19,-0.0145794,19,0.193853,3.51892,0.00628022,1.80313,0.0188256,3.51892,-0.0272892,All
19.4545,0.28769,19.4545,0.0420613,19.4545,0.247894,3.64754,-0.00692608,1.98523,0.0491354,3.64754,-0.0414386,All
19.9091,0.336923,19.9091,0.098702,19.9091,0.301936,3.77617,-0.0614122,2.16732,0.0461856,3.77617,-0.0934321,All
20.3636,0.346682,20.3636,0.111705,20.3636,0.310966,3.90479,-0.057081,2.34942,0.0336071,3.90479,-0.0824554,All
20.8182,0.346572,20.8182,0.113798,20.8182,0.308743,4.03342,-0.0527498,2.53151,0.0368982,4.03342,-0.0714786,All
21.2727,0.332638,21.2727,0.0973251,21.2727,0.291032,4.16205,-0.0378944,2.7136,0.0475022,4.16205,-0.0512384,All
21.7273,0.309488,21.7273,0.0684752,21.7273,0.262996,4.29067,-0.0408837,2.8957,0.0508098,4.29067,-0.0531633,All
