tin_abscissa,tin_cdf,beta_abscissa,beta_cdf,delta_abscissa,delta_cdf,p_abscissa,p_cdf,split
-5.14482,0.0825397,1.35819e-08,0.0833333,0.495203,0.0833333,5962.19,0.0825397,All
-5.13056,0.0833333,1.35949e-08,0.084127,0.495373,0.084127,5968.85,0.0833333,All
-5.12856,0.084127,1.36169e-08,0.0849206,0.497739,0.0849206,5986.94,0.084127,All
-5.1106,0.0849206,1.36221e-08,0.0857143,0.497848,0.0857143,6001.19,0.0849206,All
-5.10849,0.0857143,1.36273e-08,0.0865079,0.501855,0.0865079,6005.9,0.0857143,All
-5.10181,0.0865079,1.36568e-08,0.0873016,0.505347,0.0873016,6010.67,0.0865079,All
-5.09576,0.0873016,1.37056e-08,0.0880952,0.506449,0.0880952,6011.88,0.0873016,All
-5.08646,0.0880952,1.37248e-08,0.0888889,0.506667,0.0888889,6011.91,0.0880952,All
-5.05758,0.0888889,1.37292e-08,0.0896825,0.510569,0.0896825,6018.87,0.0888889,All
-5.05649,0.0896825,1.37334e-08,0.0904762,0.511693,0.0904762,6021.42,0.0896825,All
-5.03378,0.0904762,1.37436e-08,0.0912698,0.514474,0.0912698,6022.01,0.0904762,All
-5.02478,0.0912698,1.37467e-08,0.0920635,0.514583,0.0920635,6023.15,0.0912698,All
-5.02444,0.0920635,1.3785e-08,0.0928571,0.515732,0.0928571,6023.28,0.0920635,All
-5.023,0.0928571,1.3811e-08,0.0936508,0.516065,0.0936508,6028.33,0.0928571,All
-5.00413,0.0936508,1.38426e-08,0.0944444,0.516193,0.0944444,6031.54,0.0936508,All
-4.99423,0.0944444,1.38426e-08,0.0952381,0.51633,0.0952381,6032.52,0.0944444,All
-4.97242,0.0952381,1.38434e-08,0.0960317,0.516341,0.0960317,6040.75,0.0952381,All
-4.96549,0.0960317,1.38438e-08,0.0968254,0.516856,0.0968254,6050.37,0.0960317,All
-4.94903,0.0968254,1.3888e-08,0.097619,0.517817,0.097619,6060.02,0.0968254,All
-4.94553,0.097619,1.38888e-08,0.0984127,0.518355,0.0984127,6060.4,0.097619,All
-4.94017,0.0984127,1.39026e-08,0.0992063,0.518903,0.0992063,6073.66,0.0984127,All
-4.91885,0.0992063,1.39051e-08,0.1,0.519005,0.1,6075.37,0.0992063,All
-4.91496,0.1,1.39226e-08,0.100794,0.519157,0.100794,6075.99,0.1,All
-4.90646,0.100794,1.39359e-08,0.101587,0.520398,0.101587,6079.68,0.100794,All
-4.90586,0.101587,1.39453e-08,0.102381,0.522205,0.102381,6081.98,0.101587,All
-4.90168,0.102381,1.39496e-08,0.103175,0.524936,0.103175,6086.58,0.102381,All
-4.8881,0.103175,1.39673e-08,0.103968,0.525814,0.103968,6096.25,0.103175,All
-4.8867,0.103968,1.39931e-08,0.104762,0.525821,0.104762,6111.11,0.103968,All
-4.88216,0.104762,1.39958e-08,0.105556,0.528013,0.105556,6117.96,0.104762,All
-4.84532,0.105556,1.40827e-08,0.106349,0.530566,0.106349,6126.19,0.105556,All
-4.84057,0.106349,1.41438e-08,0.107143,0.531096,0.107143,6126.73,0.106349,All
-4.83999,0.107143,1.41712e-08,0.107937,0.532346,0.107937,6127.55,0.107143,All
-4.79544,0.107937,1.42172e-08,0.10873,0.53551,0.10873,6128.27,0.107937,All
-4.7918,0.10873,1.42256e-08,0.109524,0.535728,0.109524,6136.11,0.10873,All
-4.79055,0.109524,1.42509e-08,0.110317,0.537205,0.110317,6136.17,0.109524,All
-4.76434,0.110317,1.42919e-08,0.111111,0.543515,0.111111,6141.49,0.110317,All
-4.74549,0.111111,1.43062e-08,0.111905,0.543657,0.111905,6145.49,0.111111,All
-4.72741,0.111905,1.43473e-08,0.112698,0.54622,0.112698,6151.65,0.111905,All
-4.71375,0.112698,1.43636e-08,0.113492,0.548037,0.113492,6151.88,0.112698,All
-4.70682,0.113492,1.43756e-08,0.114286,0.548075,0.114286,6152.3,0.113492,All
-4.70301,0.114286,1.44001e-08,0.115079,0.54947,0.115079,6152.98,0.114286,All
-4.70015,0.115079,1.4434e-08,0.115873,0.550613,0.115873,6154.14,0.115079,All
