tin_abscissa,tin_pdf,tin_cdf,beta_abscissa,beta_pdf,beta_cdf,delta_abscissa,delta_pdf,delta_cdf,p_abscissa,p_pdf,p_cdf,split
4.67006,0.000164032,0.999942,5.86966e-08,608132,0.995577,1.73724,0.213406,0.949047,12891.9,7.45534e-08,0.999967,All
4.91633,8.3822e-05,0.999972,5.93582e-08,554780,0.995961,1.75692,0.20042,0.953118,13011.2,5.70212e-08,0.999975,All
5.16261,4.15056e-05,0.999987,6.00198e-08,506124,0.996312,1.7766,0.187942,0.956939,13130.5,4.35408e-08,0.999981,All
5.40888,1.99107e-05,0.999994,6.06814e-08,461753,0.996632,1.79628,0.17597,0.960519,13249.8,3.31952e-08,0.999986,All
5.65516,9.25132e-06,0.999997,6.1343e-08,421291,0.996924,1.81596,0.1645,0.963868,13369.2,2.52699e-08,0.999989,All
5.90143,4.16258e-06,0.999999,6.20046e-08,384395,0.99719,1.83564,0.153525,0.966997,13488.5,1.9209e-08,0.999992,All
6.14771,1.81326e-06,0.999999,6.26662e-08,350751,0.997433,1.85532,0.143041,0.969914,13607.8,1.45816e-08,0.999994,All
6.39398,7.64523e-07,1,6.33278e-08,320072,0.997655,1.875,0.133041,0.97263,13727.1,1.10543e-08,0.999995,All
6.64026,3.11918e-07,1,6.39894e-08,292096,0.997857,1.89468,0.123516,0.975154,13846.4,8.36961e-09,0.999996,All
6.88653,1.2311e-07,1,6.4651e-08,266586,0.998042,1.91436,0.114458,0.977495,13965.8,6.32923e-09,0.999997,All
7.13281,4.69919e-08,1,6.53126e-08,243324,0.998211,1.93404,0.105859,0.979662,14085.1,4.78069e-09,0.999998,All
7.37908,1.73423e-08,1,6.59742e-08,222110,0.998365,1.95372,0.0977092,0.981664,14204.4,3.607e-09,0.999998,All
7.62536,6.18596e-09,1,6.66358e-08,202764,0.998505,1.9734,0.0899979,0.983511,14323.7,2.71855e-09,0.999999,All
7.87163,2.13199e-09,1,6.72974e-08,185120,0.998633,1.99308,0.0827148,0.985209,14443.1,2.04685e-09,0.999999,All
8.11791,7.09738e-10,1,6.7959e-08,169028,0.99875,2.01276,0.0758488,0.986769,14562.4,1.5396e-09,0.999999,All
8.36418,2.28135e-10,1,6.86206e-08,154350,0.998857,2.03244,0.0693883,0.988197,14681.7,1.15698e-09,1,All
8.61046,7.07803e-11,1,6.92822e-08,140962,0.998955,2.05212,0.0633214,0.989503,14801,8.68668e-10,1,All
8.85673,2.11882e-11,1,6.99438e-08,128749,0.999044,2.0718,0.0576361,0.990692,14920.3,6.51646e-10,1,All
9.10301,6.11743e-12,1,7.06054e-08,117607,0.999125,2.09148,0.0523196,0.991774,15039.7,4.88445e-10,1,All
9.34928,1.70282e-12,1,7.1267e-08,107441,0.9992,2.11116,0.0473594,0.992754,15159,3.65833e-10,1,All
9.59556,4.56807e-13,1,7.19286e-08,98165.4,0.999268,2.13084,0.0427423,0.99364,15278.3,2.73796e-10,1,All
