ID,time,pop,popPred,indivPredMean,indivPredMode
1,9.59583,3.39684,5.19034,3.54982,3.41506
1,9.64,3.37845,5.17195,3.52437,3.38856
1,9.784,3.3185,5.112,3.4414,3.30216
1,9.82455,3.30161,5.09511,3.41804,3.27783
1,9.928,3.25854,5.05204,3.35843,3.21576
1,10.0587,3.20411,4.99761,3.28311,3.13733
1,10.072,3.19859,4.99209,3.27546,3.12937
1,10.216,3.13863,4.93213,3.19249,3.04297
1,10.2985,3.10429,4.89779,3.14497,2.99349
1,10.36,3.07868,4.87218,3.10952,2.95657
1,10.504,3.01872,4.81222,3.02655,2.87018
1,10.5439,3.00209,4.79559,3.00354,2.84621
1,10.648,2.95877,4.75226,2.94358,2.78378
1,10.792,2.89881,4.69231,2.86061,2.69738
1,10.7953,2.89746,4.69095,2.85874,2.69543
1,10.936,2.83886,4.63235,2.77764,2.61098
1,11.0526,2.79033,4.58382,2.71048,2.54105
1,11.08,2.7789,4.5724,2.69467,2.52459
1,11.224,2.71895,4.51244,2.6117,2.43819
1,11.316,2.68064,4.47414,2.55869,2.38299
1,11.368,2.65899,4.45249,2.52873,2.35179
1,11.512,2.59904,4.39253,2.44576,2.2654
1,11.5857,2.56834,4.36184,2.40329,2.22117
1,11.656,2.53908,4.33258,2.36279,2.179
1,11.8,2.47913,4.27262,2.27982,2.0926
1,11.8619,2.45337,4.24686,2.24417,2.05548
1,11.944,2.41917,4.21267,2.19685,2.0062
1,12.088,2.35922,4.15271,2.11388,1.91981
1,12.1446,2.33565,4.12915,2.08127,1.88585
1,12.232,2.29926,4.09276,2.03091,1.83341
1,12.376,2.23931,4.0328,1.94794,1.74701
1,12.4341,2.21513,4.00863,1.91448,1.71218
1,12.52,2.17935,3.97285,1.86497,1.66061
1,12.664,2.1194,3.91289,1.782,1.57422
1,12.7304,2.09174,3.88523,1.74372,1.53436
1,12.808,2.05944,3.85294,1.69903,1.48782
1,12.952,1.99949,3.79298,1.61606,1.40142
1,13,1.9795,3.773,1.5884,1.37262
1,13.0339,1.9654,3.7589,1.56889,1.35231
1,13.096,1.93953,3.73303,1.53309,1.31503
1,13.24,1.87958,3.67307,1.45012,1.22863
1,13.3445,1.83606,3.62955,1.38989,1.16592
1,13.384,1.81962,3.61312,1.36715,1.14223
1,13.528,1.75967,3.55316,1.28418,1.05583
1,13.6626,1.70363,3.49712,1.20663,0.97508
1,13.672,1.69971,3.49321,1.20121,0.969437
1,13.816,1.63976,3.43325,1.11824,0.88304
1,13.96,1.5798,3.3733,1.03527,0.796643
1,13.9882,1.56804,3.36154,1.01899,0.779697
1,14.104,1.51985,3.31334,0.952296,0.710246
1,14.248,1.45989,3.25339,0.869326,0.623849
1,14.3217,1.42922,3.22272,0.826887,0.579656
1,14.392,1.39994,3.19343,0.786356,0.537451
1,14.536,1.33998,3.13348,0.703386,0.451054
1,14.663,1.2871,3.08059,0.630202,0.374847
1,14.68,1.28003,3.07352,0.620415,0.364657
1,14.824,1.22007,3.01357,0.537445,0.27826
1,14.968,1.16012,2.95361,0.454475,0.191863
1,15,1.14679,2.94029,0.436037,0.172663
1,15.0125,1.14158,2.93508,0.428829,0.165157
1,15.112,1.10016,2.89366,0.371504,0.105465
1,15.256,1.04021,2.8337,0.288534,0.0190681
1,15.3703,0.992602,2.7861,0.222656,-0.0495309
1,15.4,0.980251,2.77375,0.205564,-0.0673291
1,15.544,0.920296,2.71379,0.122594,-0.153726
1,15.688,0.860341,2.65384,0.0396234,-0.240124
1,15.7367,0.840069,2.63356,0.0115694,-0.269336
1,15.832,0.800386,2.59388,-0.0433469,-0.326521
1,15.976,0.740431,2.53393,-0.126317,-0.412918
1,16.1118,0.683901,2.4774,-0.204549,-0.494381
1,16.12,0.680476,2.47397,-0.209287,-0.499315
1,16.264,0.620521,2.41402,-0.292258,-0.585712
1,16.408,0.560566,2.35406,-0.375228,-0.67211
1,16.4958,0.52401,2.31751,-0.425818,-0.724789
1,16.552,0.500611,2.29411,-0.458198,-0.758507
1,16.696,0.440656,2.23415,-0.541169,-0.844904
1,16.84,0.380701,2.1742,-0.624139,-0.931301
1,16.889,0.360308,2.1538,-0.652361,-0.960689
1,16.984,0.320746,2.11424,-0.707109,-1.0177
1,17.128,0.260791,2.05429,-0.790079,-1.1041
1,17.272,0.200836,1.99433,-0.87305,-1.19049
1,17.2915,0.192704,1.9862,-0.884304,-1.20221
1,17.416,0.140881,1.93438,-0.95602,-1.27689
1,17.56,0.0809261,1.87442,-1.03899,-1.36329
1,17.7037,0.0211049,1.8146,-1.12178,-1.44949
1,17.704,0.0209711,1.81447,-1.12196,-1.44968
1,17.848,-0.0389839,1.75451,-1.20493,-1.53608
1,17.992,-0.0989389,1.69456,-1.2879,-1.62248
1,18.1256,-0.154584,1.63891,-1.36491,-1.70267
1,18.136,-0.158894,1.6346,-1.37087,-1.70888
1,18.28,-0.218849,1.57465,-1.45384,-1.79527
1,18.424,-0.278804,1.51469,-1.53681,-1.88167
1,18.5577,-0.33446,1.45904,-1.61383,-1.96187
1,18.568,-0.338759,1.45474,-1.61978,-1.96807
1,18.712,-0.398714,1.39478,-1.70275,-2.05446
1,18.856,-0.458669,1.33483,-1.78572,-2.14086
1,19,-0.518624,1.27487,-1.86869,-2.22726
2,7,4.47762,6.27109,6.90475,6.81433
2,7.06693,4.44975,6.24323,6.88592,6.794
2,7.128,4.42433,6.21781,6.86875,6.77546
2,7.13451,4.42162,6.2151,6.86692,6.77348
2,7.20273,4.39321,6.1867,6.84773,6.75277
2,7.256,4.37103,6.16452,6.83274,6.73659
2,7.2716,4.36454,6.15802,6.82836,6.73185
2,7.34114,4.33559,6.12908,6.8088,6.71074
2,7.384,4.31774,6.11123,6.79674,6.69772
2,7.41133,4.30636,6.09985,6.78905,6.68942
2,7.4822,4.27685,6.07035,6.76912,6.6679
2,7.512,4.26445,6.05794,6.76074,6.65886
2,7.55375,4.24707,6.04056,6.74899,6.64618
2,7.62598,4.21699,6.01049,6.72868,6.62425
2,7.64,4.21115,6.00465,6.72473,6.61999
2,7.6989,4.18663,5.98013,6.70817,6.6021
2,7.768,4.15786,5.95136,6.68873,6.58112
2,7.77251,4.15598,5.94948,6.68746,6.57975
2,7.84683,4.12503,5.91854,6.66655,6.55718
2,7.896,4.10456,5.89807,6.65272,6.54225
2,7.92187,4.09379,5.8873,6.64545,6.5344
2,7.99762,4.06226,5.85576,6.62414,6.5114
2,8,4.06126,5.85477,6.62347,6.51067
2,8.024,4.05127,5.84478,6.61672,6.50338
2,8.07409,4.03042,5.82392,6.60263,6.48817
2,8.1513,3.99827,5.79178,6.58091,6.46473
2,8.152,3.99798,5.79148,6.58072,6.46452
2,8.22924,3.96582,5.75933,6.55899,6.44106
2,8.28,3.94468,5.73819,6.54471,6.42565
2,8.30793,3.93305,5.72656,6.53686,6.41717
2,8.38737,3.89998,5.69349,6.51451,6.39304
2,8.408,3.89139,5.6849,6.50871,6.38678
2,8.46757,3.86659,5.6601,6.49195,6.36869
2,8.536,3.8381,5.63161,6.4727,6.34791
2,8.54854,3.83288,5.62639,6.46918,6.3441
2,8.63028,3.79884,5.59235,6.44618,6.31928
2,8.664,3.7848,5.57831,6.4367,6.30904
2,8.7128,3.76448,5.55799,6.42297,6.29422
2,8.792,3.73151,5.52502,6.4007,6.27018
2,8.79612,3.72979,5.52331,6.39954,6.26893
2,8.88023,3.69477,5.48829,6.37588,6.24339
2,8.92,3.67821,5.47173,6.36469,6.23131
2,8.96514,3.65942,5.45293,6.35199,6.2176
2,9,3.64491,5.43842,6.34219,6.20701
2,9.048,3.62492,5.41843,6.32869,6.19244
2,9.05086,3.62373,5.41724,6.32788,6.19157
2,9.13741,3.58769,5.38121,6.30354,6.16529
2,9.176,3.57163,5.36514,6.29268,6.15357
2,9.22478,3.55132,5.34483,6.27896,6.13876
2,9.304,3.51833,5.31185,6.25668,6.1147
2,9.31299,3.51459,5.3081,6.25415,6.11197
2,9.40204,3.47751,5.27103,6.2291,6.08493
2,9.432,3.46504,5.25855,6.22068,6.07583
2,9.49195,3.44008,5.23359,6.20381,6.05763
2,9.56,3.41174,5.20526,6.18467,6.03697
2,9.58271,3.40229,5.1958,6.17828,6.03007
2,9.67434,3.36414,5.15765,6.15251,6.00225
2,9.688,3.35845,5.15197,6.14867,5.9981
2,9.76685,3.32562,5.11914,6.12649,5.97416
2,9.816,3.30516,5.09867,6.11266,5.95923
2,9.86024,3.28674,5.08025,6.10022,5.9458
2,9.944,3.25186,5.04538,6.07666,5.92036
2,9.95452,3.24748,5.041,6.0737,5.91717
2,10,3.22855,5.02206,6.06091,5.90336
