iteration,convergenceIndicator,phase,tin_pop,beta_tin_source_Neant,beta_tin_source_Wolfel,beta_pop,delta_pop,p_pop,omega_tin,omega_beta,omega_delta,omega_p,a
62,691.416,1,-4.80442,0.179543,0.0463554,2.75795e-08,0.83036,5264.88,0.0145975,0.600527,0.790105,0.11337,1.42195
63,702.973,1,-4.93994,0.186486,0.0561053,2.84846e-08,0.850654,5155.21,0.0142279,0.622769,0.770099,0.114774,1.4129
64,725.53,1,-4.7791,0.178606,0.0480168,3.17375e-08,0.859158,5028.47,0.0138677,0.609058,0.7506,0.116316,1.40581
65,672.306,1,-4.74848,0.17662,0.0438539,3.4614e-08,0.916349,4934.86,0.0135165,0.593636,0.731594,0.113371,1.41289
66,653.364,1,-4.69389,0.174212,0.0420907,3.44527e-08,0.910063,4983.64,0.0131743,0.578605,0.71307,0.110598,1.41577
67,677.868,1,-4.59839,0.169799,0.0310568,3.31151e-08,0.911337,5017.21,0.0128407,0.563954,0.710328,0.120238,1.51733
68,715.584,1,-4.43623,0.160731,0.0258178,3.19157e-08,0.82297,4967.84,0.0149483,0.549675,0.708581,0.11917,1.48025
69,697.79,1,-4.68625,0.17456,0.0396849,3.21321e-08,0.846983,5072.79,0.0145698,0.554757,0.690639,0.118071,1.49899
70,728.953,1,-4.6633,0.171872,0.044895,3.22322e-08,0.876788,5180.24,0.0155147,0.54071,0.725583,0.124041,1.49747
71,737.224,1,-4.72506,0.175113,0.0413275,2.95955e-08,0.849609,5155.16,0.0151219,0.57305,0.707211,0.122084,1.52997
72,718.276,1,-4.92193,0.183317,0.0552328,2.86584e-08,0.855731,5163.69,0.0147825,0.588244,0.689304,0.118993,1.53222
73,745.372,1,-4.84614,0.181232,0.0455243,3.11869e-08,0.8997,5392.31,0.0166373,0.574202,0.67185,0.119451,1.49343
74,714.835,1,-4.65551,0.176346,0.0378982,2.97979e-08,0.876814,5365.98,0.016216,0.559663,0.654839,0.129238,1.54237
75,709.88,1,-4.86785,0.185876,0.0526174,2.90694e-08,0.912031,5536.84,0.0158054,0.545492,0.676408,0.125965,1.51639
76,702.512,1,-4.80524,0.183797,0.0521117,2.91874e-08,0.926432,5596.93,0.0174524,0.53168,0.659726,0.122776,1.5272
77,724.312,1,-4.66905,0.176088,0.0451328,2.90382e-08,0.944643,5538.61,0.0170642,0.518218,0.695699,0.124924,1.53258
78,731.337,1,-4.60766,0.172234,0.0436143,3.14692e-08,0.961053,5534.53,0.0177521,0.521923,0.678083,0.121761,1.56817
79,738.628,1,-4.57954,0.173294,0.0470353,2.86158e-08,0.893936,5612.71,0.0190056,0.508708,0.705702,0.119565,1.53802
80,711.34,1,-4.3975,0.164943,0.0281228,2.73555e-08,0.867162,5518.34,0.0185244,0.495827,0.687833,0.116537,1.55483
81,698.894,1,-4.28773,0.157076,0.0161422,2.96739e-08,0.928173,5548.67,0.0180554,0.551595,0.670416,0.113586,1.51546
82,769.99,1,-4.36455,0.159469,0.0170031,2.88468e-08,0.90656,5568.7,0.020063,0.552685,0.674603,0.134813,1.51618
83,776.616,1,-4.51766,0.164959,0.0279201,2.83777e-08,0.897477,5559.36,0.0213675,0.547474,0.686367,0.1314,1.50885
84,793.455,1,-4.45711,0.158831,0.0224079,2.98238e-08,0.875588,5479.13,0.0226156,0.533611,0.723822,0.128921,1.49246
85,773.959,1,-4.52863,0.156625,0.0359425,3.00102e-08,0.901316,5558.07,0.0251005,0.5201,0.705495,0.125656,1.48872
86,791.739,1,-4.53277,0.156604,0.0366638,2.83341e-08,0.866861,5662.34,0.0258729,0.506931,0.692915,0.135704,1.49984
87,793.004,1,-4.46968,0.150144,0.0158732,2.83128e-08,0.853394,5674.96,0.0280015,0.494095,0.686068,0.136219,1.47446
88,799.233,1,-4.54733,0.147864,0.0164047,2.73406e-08,0.879536,5688.05,0.0276635,0.481584,0.668696,0.143425,1.52383
89,764.089,1,-4.5191,0.150706,-0.00078317,2.67437e-08,0.872785,5573.06,0.0269631,0.46939,0.651765,0.14313,1.50708
90,783.385,1,-4.60232,0.160533,0.00223386,2.61014e-08,0.82664,5530.84,0.0277078,0.457505,0.666249,0.139506,1.47583
91,761.74,1,-4.49602,0.154883,-0.0137971,2.44388e-08,0.81227,5409.17,0.0288379,0.445921,0.649379,0.136209,1.45585
92,747.835,1,-4.38888,0.152213,0.000186891,2.2609e-08,0.823961,5415.63,0.0281077,0.43463,0.721998,0.13276,1.43257
93,762.867,1,-4.34477,0.146509,-0.00632827,2.44609e-08,0.822325,5380.53,0.0310051,0.423625,0.703717,0.129399,1.46185
94,770.526,1,-4.10477,0.133177,-0.0217591,2.48062e-08,0.843451,5350.07,0.0314819,0.412898,0.732503,0.126122,1.458
95,756.727,1,-4.07423,0.133385,-0.0253545,2.76022e-08,0.902888,5390.7,0.0306848,0.402443,0.786309,0.122929,1.44113
96,745.603,1,-4.41838,0.15727,-0.00244725,2.58342e-08,0.871011,5392.01,0.0299079,0.392253,0.766399,0.119816,1.44716
97,724.86,1,-4.66818,0.181687,0.00666188,2.61419e-08,0.873296,5400.86,0.0291506,0.382321,0.746993,0.116782,1.46176
98,711.346,1,-4.3581,0.165176,-0.00109743,2.73868e-08,0.902807,5334.73,0.0284125,0.372641,0.728079,0.113825,1.46053
99,714.04,1,-4.05112,0.143354,-0.0241121,2.90294e-08,0.957815,5204.97,0.0303157,0.363205,0.709644,0.110943,1.44302
100,758.842,1,-4.0108,0.147601,-0.00866692,2.95029e-08,0.897566,5270.19,0.0332578,0.354009,0.769796,0.108134,1.47274
101,725.226,1,-3.95391,0.147055,-0.00122334,2.99426e-08,0.90342,5170,0.0324157,0.357327,0.750304,0.107878,1.44379
102,732.854,1,-4.00794,0.155112,0.0142183,3.18034e-08,0.934662,5153.71,0.0315949,0.374346,0.731306,0.109811,1.41269
103,769.783,1,-4.15127,0.158377,0.0324376,3.46545e-08,0.95019,5047.97,0.0312127,0.367647,0.718789,0.1204,1.43974
104,759.206,1,-4.35753,0.175549,0.0395445,3.68114e-08,0.931208,5048.18,0.0304224,0.405217,0.700589,0.130374,1.43642
105,746.179,1,-4.22945,0.170618,0.033813,3.35451e-08,0.968084,5081.6,0.0297217,0.416439,0.707441,0.127073,1.44601
106,777.617,1,-4.35515,0.176818,0.0369412,3.67986e-08,1.01632,5134.19,0.0289691,0.438436,0.745938,0.134515,1.46328
107,757.924,1,-4.30463,0.177959,0.0432267,3.57262e-08,0.990515,5178.77,0.0282356,0.427335,0.72705,0.131109,1.42623
108,754.498,1,-4.29137,0.179272,0.0317132,3.41001e-08,0.970832,5078.16,0.0275207,0.44972,0.772882,0.127789,1.46135
109,761.541,1,-4.17432,0.164569,0.0242318,3.55236e-08,0.962947,5151.37,0.0268238,0.471535,0.753312,0.124553,1.44648
110,767.589,1,-3.97886,0.156864,0.0294017,3.84656e-08,0.958158,5177.61,0.0296047,0.509835,0.734238,0.1214,1.40986
111,800.738,1,-3.8833,0.156751,0.0216769,3.69002e-08,0.970227,5145.27,0.029018,0.518475,0.736805,0.134434,1.43983
112,822.1,1,-4.03295,0.165654,0.0363898,3.46364e-08,1.01688,5178.02,0.0315232,0.505347,0.758558,0.141163,1.50424
113,809.027,1,-4.19963,0.177857,0.0456674,3.45561e-08,1.01005,5182.4,0.0341085,0.492551,0.739351,0.137589,1.54073
114,813.867,1,-4.31879,0.183764,0.0572875,3.28031e-08,0.991296,5198.03,0.0332449,0.48008,0.72063,0.13576,1.55045
115,827.104,1,-4.43513,0.187403,0.0677294,3.04267e-08,0.985041,5244.69,0.0381968,0.486887,0.703717,0.147667,1.51119
116,789.827,1,-4.45039,0.187236,0.0838118,2.79589e-08,0.995258,5465.79,0.0372297,0.474559,0.700223,0.143928,1.48669
117,802.582,1,-4.32532,0.18409,0.072492,2.79443e-08,0.941906,5493.72,0.0384881,0.462543,0.687671,0.140284,1.47544
118,852.189,1,-4.24283,0.17888,0.0731119,2.78825e-08,0.949136,5642.31,0.0422292,0.466642,0.72326,0.1428,1.51035
119,815.663,1,-4.37147,0.184121,0.0889009,2.51727e-08,0.934601,5655.64,0.0411599,0.454826,0.771527,0.148177,1.4721
120,799.843,1,-4.87774,0.213508,0.113897,2.38642e-08,0.903871,5698.23,0.0401177,0.451515,0.751991,0.144425,1.46202
121,789.145,1,-5.0883,0.220478,0.12364,2.52488e-08,0.911647,5663.93,0.0391019,0.441128,0.73295,0.141985,1.425
122,809.193,1,-4.9326,0.204991,0.114885,2.36065e-08,0.932803,5603.18,0.0412054,0.429958,0.778345,0.138389,1.49969
123,824.801,1,-4.74031,0.194672,0.127074,2.37165e-08,0.919018,5391.25,0.0417806,0.419071,0.758637,0.136932,1.46546
124,848.118,1,-4.59699,0.180445,0.117805,2.47705e-08,0.880576,5506.09,0.0418893,0.411598,0.782182,0.147536,1.43926
125,830.879,1,-4.85598,0.202616,0.137626,2.76649e-08,0.94399,5392.54,0.0456618,0.401176,0.799,0.143801,1.42658
126,802.881,1,-4.7486,0.199933,0.120523,2.70372e-08,0.938638,5363.06,0.0459895,0.391018,0.819797,0.14016,1.39046
127,833.154,1,-4.50143,0.191709,0.0822404,2.71414e-08,0.933045,5428.01,0.0451622,0.416628,0.871433,0.136611,1.42725
128,856.759,1,-4.34026,0.179734,0.0776428,2.69271e-08,1.00209,5446.74,0.0440187,0.430476,0.872034,0.144725,1.4353
129,850.05,1,-4.2433,0.180735,0.0903778,2.72757e-08,0.98701,5534.49,0.0442577,0.419576,0.849954,0.156551,1.42455
130,856.101,1,-4.68362,0.20356,0.131639,2.72214e-08,0.933393,5636.71,0.0431371,0.431653,0.828433,0.166926,1.46449
131,853.336,1,-4.97515,0.218157,0.126118,2.87382e-08,0.945643,5561.03,0.0430016,0.420723,0.807456,0.165265,1.45317
132,853.908,1,-5.01428,0.228153,0.142396,2.82561e-08,1.02032,5773.12,0.0462768,0.411601,0.81994,0.16108,1.43618
133,882.821,1,-4.5341,0.196014,0.124208,2.72763e-08,0.981455,5865.38,0.0483351,0.401179,0.868277,0.17385,1.4121
134,886.095,1,-4.59037,0.192047,0.117607,2.69959e-08,0.954581,5941.55,0.0476812,0.420482,0.846291,0.199734,1.42854
135,881.665,1,-4.60634,0.196505,0.141477,2.63036e-08,0.980359,6077.63,0.0515472,0.409835,0.824863,0.194677,1.49569
136,870.613,1,-4.57006,0.184786,0.11949,2.63026e-08,0.969062,6492.95,0.054551,0.399458,0.819855,0.189748,1.45782
137,877.103,1,-5.15673,0.214378,0.144498,2.45291e-08,1.00725,6501.3,0.0531697,0.389344,0.838753,0.197551,1.4273
138,842.825,1,-5.13253,0.211824,0.120574,2.26675e-08,0.961807,6588.94,0.0586796,0.379485,0.817516,0.192549,1.39116
139,906.87,1,-4.81171,0.192709,0.0986435,2.2461e-08,0.956233,6427.15,0.0647111,0.397494,0.832261,0.201297,1.36283
140,918.085,1,-4.68997,0.195838,0.0602993,2.25938e-08,0.883274,6759.34,0.064701,0.426263,0.811188,0.1962,1.40886
141,892.589,1,-4.38148,0.190673,0.016957,2.28195e-08,0.923716,6759.71,0.0630628,0.41547,0.790648,0.191232,1.42516
142,915.847,1,-4.89481,0.208504,0.0597969,2.36749e-08,0.945866,6551.63,0.0696625,0.428669,0.807919,0.198584,1.45104
143,884.574,1,-4.79157,0.206818,0.0610922,2.45832e-08,0.963013,6585.77,0.0678986,0.417815,0.787462,0.193556,1.41429
