standEta_tin_abscissa,standEta_tin_cdf,standEta_beta_abscissa,standEta_beta_cdf,standEta_delta_abscissa,standEta_delta_cdf,standEta_p_abscissa,standEta_p_cdf,split
-1.45351,0.0801587,-1.31688,0.0801587,-1.44607,0.0801587,-1.39347,0.0801587,All
-1.45267,0.0809524,-1.30615,0.0809524,-1.44489,0.0809524,-1.39331,0.0809524,All
-1.44816,0.081746,-1.30257,0.081746,-1.43377,0.081746,-1.39273,0.081746,All
-1.43465,0.0825397,-1.301,0.0825397,-1.42799,0.0825397,-1.39058,0.0825397,All
-1.42713,0.0833333,-1.29764,0.0833333,-1.42496,0.0833333,-1.3828,0.0833333,All
-1.41924,0.084127,-1.29512,0.084127,-1.42424,0.084127,-1.36167,0.084127,All
-1.39504,0.0849206,-1.29087,0.0849206,-1.41419,0.0849206,-1.34508,0.0849206,All
-1.39143,0.0857143,-1.28987,0.0857143,-1.41373,0.0857143,-1.3396,0.0857143,All
-1.38366,0.0865079,-1.28887,0.0865079,-1.39684,0.0865079,-1.33406,0.0865079,All
-1.38034,0.0873016,-1.28318,0.0873016,-1.38224,0.0873016,-1.33265,0.0873016,All
-1.36989,0.0880952,-1.27381,0.0880952,-1.37765,0.0880952,-1.33261,0.0880952,All
-1.35046,0.0888889,-1.27013,0.0888889,-1.37674,0.0888889,-1.32454,0.0888889,All
-1.34915,0.0896825,-1.26929,0.0896825,-1.36059,0.0896825,-1.32158,0.0896825,All
-1.34641,0.0904762,-1.26848,0.0904762,-1.35596,0.0904762,-1.3209,0.0904762,All
-1.33293,0.0912698,-1.26654,0.0912698,-1.34455,0.0912698,-1.31957,0.0912698,All
-1.33249,0.0920635,-1.26594,0.0920635,-1.34411,0.0920635,-1.31942,0.0920635,All
-1.327,0.0928571,-1.25863,0.0928571,-1.33942,0.0928571,-1.31357,0.0928571,All
-1.32519,0.0936508,-1.25367,0.0936508,-1.33806,0.0936508,-1.30986,0.0936508,All
-1.32019,0.0944444,-1.24766,0.0944444,-1.33754,0.0944444,-1.30872,0.0944444,All
-1.31224,0.0952381,-1.24766,0.0952381,-1.33698,0.0952381,-1.29921,0.0952381,All
-1.30697,0.0960317,-1.24752,0.0960317,-1.33693,0.0960317,-1.28809,0.0960317,All
-1.30442,0.0968254,-1.24744,0.0968254,-1.33484,0.0968254,-1.27696,0.0968254,All
-1.29623,0.097619,-1.23906,0.097619,-1.33093,0.097619,-1.27654,0.097619,All
-1.28815,0.0984127,-1.23891,0.0984127,-1.32874,0.0984127,-1.26127,0.0984127,All
-1.28707,0.0992063,-1.2363,0.0992063,-1.32652,0.0992063,-1.25931,0.0992063,All
-1.27467,0.1,-1.23582,0.1,-1.3261,0.1,-1.25859,0.1,All
-1.26263,0.100794,-1.23251,0.100794,-1.32549,0.100794,-1.25436,0.100794,All
-1.25697,0.101587,-1.23001,0.101587,-1.32046,0.101587,-1.25172,0.101587,All
-1.25083,0.102381,-1.22823,0.102381,-1.31317,0.102381,-1.24644,0.102381,All
-1.24869,0.103175,-1.22742,0.103175,-1.3022,0.103175,-1.23535,0.103175,All
-1.24726,0.103968,-1.22409,0.103968,-1.29869,0.103968,-1.21836,0.103968,All
-1.24624,0.104762,-1.21925,0.104762,-1.29866,0.104762,-1.21054,0.104762,All
-1.24224,0.105556,-1.21874,0.105556,-1.28991,0.105556,-1.20115,0.105556,All
