rep,id,eta_tin,eta_iniT,eta_iniI,eta_beta,eta_rhoX,eta_k,eta_delta,eta_p,eta_c,eta_sigmaX,eta_phiX,eta_dX,source
20,5,-0.00434143114972288,0,0,0.260885314645328,0,0,0.349135269618688,0.0969942187745573,0,0,0,0,Neant
21,5,0.00634140051292476,0,0,0.0853633323704197,0,0,-0.15626910161563,-0.030985019836739,0,0,0,0,Neant
1,6,-0.0935302525859577,0,0,0.12414969603361,0,0,0.602917145096885,0.305254354768391,0,0,0,0,Neant
2,6,-0.115180844219365,0,0,-0.856966207329427,0,0,-0.184927916227192,0.135139022244117,0,0,0,0,Neant
3,6,-0.184611417342953,0,0,-0.0499703528197483,0,0,0.0166182031124533,0.218723424087971,0,0,0,0,Neant
4,6,-0.111682175904896,0,0,-0.535343204139232,0,0,-0.324517516727776,-0.441519432544314,0,0,0,0,Neant
5,6,0.0551883730353272,0,0,-0.106823710963175,0,0,0.186689139710952,0.0995926321067961,0,0,0,0,Neant
6,6,-0.0965489931067887,0,0,0.434938047631036,0,0,0.600589901678596,0.144805359292766,0,0,0,0,Neant
7,6,0.0875905820234922,0,0,0.163973544964937,0,0,1.04223811206192,0.208172633220815,0,0,0,0,Neant
8,6,0.0903460184754001,0,0,0.315069894134415,0,0,0.397412573318775,-0.142332476286093,0,0,0,0,Neant
9,6,0.0460005470636227,0,0,0.110988973479974,0,0,0.883218093784625,-0.10069543358542,0,0,0,0,Neant
10,6,0.00747443416417716,0,0,0.0364144141514477,0,0,-0.0561242231397763,0.130831384934794,0,0,0,0,Neant
11,6,-0.117483773555007,0,0,-0.362199917157475,0,0,0.174669904211659,-0.0653798938851517,0,0,0,0,Neant
12,6,-0.0865712658991556,0,0,-0.126667770743834,0,0,1.61727009627176,0.0639289759442308,0,0,0,0,Neant
13,6,-0.00858246236116075,0,0,0.119222822924058,0,0,1.02381103646995,-0.043408995615596,0,0,0,0,Neant
14,6,0.0121757460359404,0,0,-1.25548869574732,0,0,0.444220139724904,0.0127912884430125,0,0,0,0,Neant
15,6,-0.00600297031755529,0,0,-0.472198619196061,0,0,0.00433280525131718,-0.100458130719904,0,0,0,0,Neant
16,6,0.000575086512403136,0,0,-0.233788502792224,0,0,-0.0414898823919955,0.125777423355709,0,0,0,0,Neant
17,6,0.0057738447861562,0,0,-0.0266702990397858,0,0,0.243421044646248,0.0100478501006727,0,0,0,0,Neant
18,6,0.0316360497931039,0,0,-0.415518754417371,0,0,1.02445283026515,0.0775195942281701,0,0,0,0,Neant
19,6,-0.148556147379602,0,0,0.776679421237546,0,0,0.146317258178967,-0.0848185292831549,0,0,0,0,Neant
20,6,-0.0632675772071599,0,0,0.00946973856928823,0,0,0.816814791446278,0.0742782903386415,0,0,0,0,Neant
21,6,-0.0368611075357034,0,0,0.177018511499945,0,0,0.372066136349619,-0.00291887761330756,0,0,0,0,Neant
1,7,-0.0504559514870059,0,0,0.373214041240534,0,0,-0.156730849544718,-0.00391221950208964,0,0,0,0,Neant
2,7,-0.0384478000004761,0,0,0.0944881190180412,0,0,-0.429060583767835,0.161506367320824,0,0,0,0,Neant
3,7,-0.070445786183038,0,0,0.395362257707675,0,0,-0.0177811410017154,0.129765039641387,0,0,0,0,Neant
4,7,-0.032167903356496,0,0,-0.0565474602969382,0,0,-0.213044431704428,0.0160258589881482,0,0,0,0,Neant
5,7,0.0542025158987515,0,0,0.246629073879953,0,0,0.0388458138351267,-0.100098010234428,0,0,0,0,Neant
6,7,-0.0404349751263078,0,0,-0.507994594483381,0,0,-1.01640141980965,-0.238303897866212,0,0,0,0,Neant
7,7,0.000168086117561098,0,0,-0.339090662721712,0,0,-0.418338086314143,0.00602528658544826,0,0,0,0,Neant
8,7,-0.124370457836328,0,0,0.234817616102815,0,0,-0.240388212636691,-0.186104603016931,0,0,0,0,Neant
9,7,-0.122090356411441,0,0,-0.145725109482378,0,0,-0.424915908616869,0.00365263223009223,0,0,0,0,Neant
10,7,0.137799660034758,0,0,0.110479643197904,0,0,0.322767640168761,0.255111006265041,0,0,0,0,Neant
11,7,-0.0295566898144033,0,0,-0.500569885342449,0,0,-0.346100543473918,0.243066480563956,0,0,0,0,Neant
12,7,0.0664222032874874,0,0,-0.543594801456311,0,0,-0.473540040979924,-0.309020447780817,0,0,0,0,Neant
13,7,0.0664222032874874,0,0,0.420086557279534,0,0,-0.530738319594218,0.251676802499619,0,0,0,0,Neant
14,7,0.0703299680844616,0,0,0.413672707709151,0,0,-0.226391920348731,-0.0718574281615504,0,0,0,0,Neant
15,7,-0.0346450257041204,0,0,-0.171797117220675,0,0,-0.791687024216038,-0.13093033087215,0,0,0,0,Neant
16,7,-0.0715115668622997,0,0,-0.075470141973548,0,0,-0.297656523336301,0.0026499929844254,0,0,0,0,Neant
17,7,0.00810612860981931,0,0,0.138735728081913,0,0,-0.138903768023614,0.152040203380717,0,0,0,0,Neant
18,7,0.0328014641483554,0,0,0.409258323648249,0,0,-0.404417385106556,-0.0869844906679654,0,0,0,0,Neant
19,7,0.0558621864271429,0,0,0.0582336060587261,0,0,-0.27030319575848,-0.115696074076131,0,0,0,0,Neant
20,7,-0.0848462963404267,0,0,0.48532962040246,0,0,-0.0578235194445245,-0.113322496730636,0,0,0,0,Neant
21,7,0.135307185960878,0,0,0.645324877518926,0,0,0.318490451027806,-0.1785465982541,0,0,0,0,Neant
1,8,0.0546167969786882,0,0,0.114986982071289,0,0,-0.431899685514843,0.0928918805772718,0,0,0,0,Neant
2,8,-0.0461883904216839,0,0,0.0129569951199369,0,0,-0.986690905362546,0.090983195121655,0,0,0,0,Neant
3,8,0.0290036364652389,0,0,-0.0241847771492396,0,0,-1.19800991204584,0.0294610611878968,0,0,0,0,Neant
