id,eta_tin_SAEM,eta_iniT_SAEM,eta_iniI_SAEM,eta_beta_SAEM,eta_rhoX_SAEM,eta_k_SAEM,eta_delta_SAEM,eta_p_SAEM,eta_c_SAEM,eta_sigmaX_SAEM,eta_phiX_SAEM,eta_dX_SAEM,eta_tin_mean,eta_iniT_mean,eta_iniI_mean,eta_beta_mean,eta_rhoX_mean,eta_k_mean,eta_delta_mean,eta_p_mean,eta_c_mean,eta_sigmaX_mean,eta_phiX_mean,eta_dX_mean,eta_tin_mode,eta_iniT_mode,eta_iniI_mode,eta_beta_mode,eta_rhoX_mode,eta_k_mode,eta_delta_mode,eta_p_mode,eta_c_mode,eta_sigmaX_mode,eta_phiX_mode,eta_dX_mode,eta_tin_sd,eta_iniT_sd,eta_iniI_sd,eta_beta_sd,eta_rhoX_sd,eta_k_sd,eta_delta_sd,eta_p_sd,eta_c_sd,eta_sigmaX_sd,eta_phiX_sd,eta_dX_sd,source
44,0.0674385,0,0,-0.035567,0,0,0.0536597,-0.00341585,0,0,0,0,0.0629031,0,0,-0.0195902,0,0,0.070407,-0.0158317,0,0,0,0,0.0803021,0,0,-0.0130013,0,0,0.17071,-0.00104703,0,0,0,0,0.0458736,0,0,0.325306,0,0,0.272512,0.1355,0,0,0,0,Kissler
45,0.0451879,0,0,-0.270836,0,0,0.63547,-0.0451778,0,0,0,0,0.0494416,0,0,-0.189909,0,0,0.708875,-0.0191006,0,0,0,0,0.0452183,0,0,-0.295638,0,0,0.624197,-0.0532239,0,0,0,0,0.0314902,0,0,0.315501,0,0,0.421482,0.143167,0,0,0,0,Kissler
46,0.0576317,0,0,-0.12953,0,0,0.551519,-0.0174936,0,0,0,0,0.0601146,0,0,-0.0562263,0,0,0.550177,-0.053072,0,0,0,0,0.0821529,0,0,-0.127645,0,0,0.661513,-0.018548,0,0,0,0,0.0423704,0,0,0.35327,0,0,0.403634,0.14402,0,0,0,0,Kissler
47,0.00688946,0,0,-0.51282,0,0,0.737244,-0.0815984,0,0,0,0,0.00721117,0,0,-0.437274,0,0,0.736604,-0.0890035,0,0,0,0,0.000417778,0,0,-0.45719,0,0,0.686384,-0.0783748,0,0,0,0,0.0259201,0,0,0.247798,0,0,0.408704,0.118774,0,0,0,0,Kissler
48,-0.137872,0,0,-0.293064,0,0,0.294048,-0.0805599,0,0,0,0,-0.156786,0,0,-0.187052,0,0,0.429165,-0.0412087,0,0,0,0,-0.180443,0,0,-0.280922,0,0,0.28667,-0.0489024,0,0,0,0,0.0515213,0,0,0.37789,0,0,0.450811,0.136775,0,0,0,0,Kissler
49,0.0076823,0,0,0.04201,0,0,0.528874,0.0373335,0,0,0,0,0.0195195,0,0,0.100585,0,0,0.549882,0.0299244,0,0,0,0,0.00759844,0,0,0.0524985,0,0,0.557188,0.00927884,0,0,0,0,0.0363871,0,0,0.412968,0,0,0.387809,0.168724,0,0,0,0,Kissler
50,-0.0799262,0,0,-0.0881888,0,0,-0.0738784,0.000899879,0,0,0,0,-0.0971498,0,0,-0.0776416,0,0,-0.144424,-0.00173891,0,0,0,0,-0.149862,0,0,0.0826005,0,0,-0.131003,0.0120262,0,0,0,0,0.077857,0,0,0.331356,0,0,0.272036,0.123818,0,0,0,0,Kissler
51,-0.00757032,0,0,0.000948639,0,0,0.128031,0.0117113,0,0,0,0,-0.00806251,0,0,-0.0105889,0,0,0.136026,-0.0034816,0,0,0,0,-0.0226066,0,0,-0.0662159,0,0,0.137761,-0.00833668,0,0,0,0,0.0366148,0,0,0.36928,0,0,0.29966,0.130331,0,0,0,0,Kissler
52,-0.0253196,0,0,-0.252287,0,0,0.295509,-0.0539372,0,0,0,0,-0.0494988,0,0,-0.133751,0,0,0.281928,-0.0162495,0,0,0,0,-0.0368319,0,0,-0.221582,0,0,0.340718,-0.0374516,0,0,0,0,0.0636668,0,0,0.380516,0,0,0.205202,0.161883,0,0,0,0,Wolfel
53,0.0275193,0,0,0.15607,0,0,0.867272,-0.00023196,0,0,0,0,0.0334869,0,0,0.0660396,0,0,0.835723,0.0533573,0,0,0,0,0.0261683,0,0,0.0379345,0,0,0.827623,0.00878849,0,0,0,0,0.0610634,0,0,0.399139,0,0,0.358748,0.164793,0,0,0,0,Wolfel
54,-0.0228539,0,0,-0.143709,0,0,0.424412,-0.048562,0,0,0,0,-0.0130339,0,0,-0.100676,0,0,0.507946,-0.0142476,0,0,0,0,-0.0268335,0,0,-0.107792,0,0,0.521499,-0.0192846,0,0,0,0,0.0642949,0,0,0.34555,0,0,0.258606,0.1255,0,0,0,0,Wolfel
55,-0.0107051,0,0,-0.0325397,0,0,0.839272,0.0311487,0,0,0,0,-0.000895233,0,0,0.0413516,0,0,0.942642,0.0195245,0,0,0,0,-0.00394323,0,0,-0.00785011,0,0,0.924339,-0.00160996,0,0,0,0,0.0615113,0,0,0.333997,0,0,0.390327,0.133648,0,0,0,0,Wolfel
56,0.064629,0,0,0.109711,0,0,0.661395,0.0541197,0,0,0,0,0.0421602,0,0,0.0190869,0,0,0.518011,0.0314731,0,0,0,0,0.0487237,0,0,0.0571259,0,0,0.615739,0.0151646,0,0,0,0,0.0636874,0,0,0.35082,0,0,0.288224,0.14033,0,0,0,0,Wolfel
57,-0.012225,0,0,-0.0351598,0,0,0.327281,0.0180466,0,0,0,0,-0.0142712,0,0,0.0167256,0,0,0.279141,-0.0118431,0,0,0,0,-0.0202614,0,0,-0.0729099,0,0,0.324703,-0.0137632,0,0,0,0,0.0655436,0,0,0.371965,0,0,0.231897,0.134569,0,0,0,0,Wolfel
58,0.0132878,0,0,0.0233817,0,0,-0.332782,-0.0125336,0,0,0,0,0.0170719,0,0,0.0285844,0,0,-0.314946,-0.00572118,0,0,0,0,-0.000918718,0,0,-0.00347673,0,0,-0.317551,-0.000728816,0,0,0,0,0.062344,0,0,0.350352,0,0,0.155003,0.133999,0,0,0,0,Wolfel
59,-0.0261854,0,0,-0.142968,0,0,0.517678,-0.0249942,0,0,0,0,0.00180489,0,0,-0.127976,0,0,0.747567,-0.0156624,0,0,0,0,-0.0275169,0,0,-0.122544,0,0,0.622244,-0.0213165,0,0,0,0,0.0771621,0,0,0.370363,0,0,0.331144,0.125357,0,0,0,0,Wolfel
60,0.00105298,0,0,-0.0306858,0,0,0.536295,-0.0418333,0,0,0,0,0.00641337,0,0,0.0369796,0,0,0.653396,-0.000956915,0,0,0,0,-0.0119194,0,0,-0.0308209,0,0,0.594459,-0.00612406,0,0,0,0,0.0565591,0,0,0.400299,0,0,0.363487,0.147352,0,0,0,0,Wolfel
