rep,id,tin,iniT,iniI,beta,rhoX,k,delta,p,c,sigmaX,phiX,dX,source
13,5,1.52511284717261,2666667,0.0333333,2.1191287247249e-8,2,4,1.29766135104905,6414.48470541157,10,1,2,0.2,Neant
14,5,0.151279139480663,2666667,0.0333333,1.92792254476152e-8,2,4,1.51881870245986,7981.25476147047,10,1,2,0.2,Neant
15,5,-0.636595782700952,2666667,0.0333333,2.24450804421372e-8,2,4,1.26442516719687,8396.35491157655,10,1,2,0.2,Neant
16,5,2.52740273660216,2666667,0.0333333,4.26055110900909e-8,2,4,1.6330084775148,6145.49269482352,10,1,2,0.2,Neant
17,5,-0.922312721847866,2666667,0.0333333,1.59727280428251e-8,2,4,1.07295607251774,9202.1854238139,10,1,2,0.2,Neant
18,5,-0.350039324815779,2666667,0.0333333,1.9712741642293e-8,2,4,0.833182150881643,7877.92777690908,10,1,2,0.2,Neant
19,5,-1.72530904260052,2666667,0.0333333,1.68650552204052e-8,2,4,0.820136018772728,6779.75811755786,10,1,2,0.2,Neant
20,5,-0.786767111381528,2666667,0.0333333,2.8640167883486e-8,2,4,1.18344477500458,8017.49999749557,10,1,2,0.2,Neant
21,5,-0.573172727706385,2666667,0.0333333,2.41409460997345e-8,2,4,0.867336920881764,7054.37092210508,10,1,2,0.2,Neant
1,6,-2.56711182425934,2666667,0.0333333,2.50717444033385e-8,2,4,1.36040616528079,9873.81978564206,10,1,2,0.2,Neant
2,6,-2.99802396659071,2666667,0.0333333,9.54886438898723e-9,2,4,0.851274204257596,8329.23367161668,10,1,2,0.2,Neant
3,6,-4.37469977010341,2666667,0.0333333,2.11499185484777e-8,2,4,0.968772989420314,9055.35103520546,10,1,2,0.2,Neant
4,6,-2.92843462901952,2666667,0.0333333,1.31238250203482e-8,2,4,0.776217964171908,4679.13377017,10,1,2,0.2,Neant
5,6,0.403713779170337,2666667,0.0333333,2.00044006326818e-8,2,4,1.07564810920218,8038.35986592368,10,1,2,0.2,Neant
6,6,-2.62723209415486,2666667,0.0333333,3.39005990990296e-8,2,4,1.35874801327717,8410.13724227957,10,1,2,0.2,Neant
7,6,1.05152934023249,2666667,0.0333333,2.60637968448572e-8,2,4,1.67749209334242,8960.31216943862,10,1,2,0.2,Neant
8,6,1.10659795590902,2666667,0.0333333,3.01866986412639e-8,2,4,1.21640375743332,6311.03669611071,10,1,2,0.2,Neant
9,6,0.219968751315668,2666667,0.0333333,2.47520576451083e-8,2,4,1.56253234365567,6579.35686653962,10,1,2,0.2,Neant
10,6,-0.550516526088082,2666667,0.0333333,2.30142680340393e-8,2,4,0.925163612545799,8293.43152059677,10,1,2,0.2,Neant
11,6,-3.04381984238102,2666667,0.0333333,1.55660889047689e-8,2,4,1.06788209196639,6815.86197798419,10,1,2,0.2,Neant
12,6,-2.42847494355132,2666667,0.0333333,1.96190563016119e-8,2,4,2.07046376890236,7756.73431127226,10,1,2,0.2,Neant
13,6,-0.871551257174861,2666667,0.0333333,2.49515974710567e-8,2,4,1.66422537355959,6967.26978024528,10,1,2,0.2,Neant
14,6,-0.456505230607974,2666667,0.0333333,6.43044207313379e-9,2,4,1.24871107748638,7370.04433613725,10,1,2,0.2,Neant
15,6,-0.819984488094877,2666667,0.0333333,1.39672989890884e-8,2,4,0.961315674001757,6580.91835204249,10,1,2,0.2,Neant
16,6,-0.688470245007865,2666667,0.0333333,1.76612958366631e-8,2,4,0.933830494140269,8251.62257572556,10,1,2,0.2,Neant
