ID,trans_tin_mean,trans_tin_mode,trans_beta_mean,trans_beta_mode,trans_delta_mean,trans_delta_mode,trans_p_mean,trans_p_mode,eta_tin_mean,eta_tin_mode,eta_beta_mean,eta_beta_mode,eta_delta_mean,eta_delta_mode,eta_p_mean,eta_p_mode,source,split,color,filter
43,-0.25128,-0.246648,-4.05013,-4.02878,-0.869945,-0.842418,8.89572,8.85537,0.000420704,0.00505284,-0.265357,-0.244006,-0.00401343,0.0235132,0.0033298,-0.0370133,Kissler,All,#4682B4,0
44,-0.188798,-0.171399,-3.80436,-3.79777,-0.795525,-0.695222,8.87656,8.89134,0.0629031,0.0803021,-0.0195902,-0.0130013,0.070407,0.17071,-0.0158317,-0.00104703,Kissler,All,#4682B4,0
45,-0.202259,-0.206483,-3.97468,-4.08041,-0.157057,-0.241734,8.87329,8.83916,0.0494416,0.0452183,-0.189909,-0.295638,0.708875,0.624197,-0.0191006,-0.0532239,Kissler,All,#4682B4,0
46,-0.191586,-0.169548,-3.841,-3.91242,-0.315754,-0.204418,8.83932,8.87384,0.0601146,0.0821529,-0.0562263,-0.127645,0.550177,0.661513,-0.053072,-0.018548,Kissler,All,#4682B4,0
47,-0.24449,-0.251283,-4.22205,-4.24196,-0.129328,-0.179548,8.80338,8.81401,0.00721117,0.000417778,-0.437274,-0.45719,0.736604,0.686384,-0.0890035,-0.0783748,Kissler,All,#4682B4,0
48,-0.408487,-0.432144,-3.97182,-4.06569,-0.436767,-0.579261,8.85118,8.84349,-0.156786,-0.180443,-0.187052,-0.280922,0.429165,0.28667,-0.0412087,-0.0489024,Kissler,All,#4682B4,0
49,-0.232181,-0.244103,-3.68419,-3.73227,-0.31605,-0.308743,8.92231,8.90167,0.0195195,0.00759844,0.100585,0.0524985,0.549882,0.557188,0.0299244,0.00927884,Kissler,All,#4682B4,0
50,-0.348851,-0.401563,-3.86241,-3.70217,-1.01036,-0.996934,8.89065,8.90441,-0.0971498,-0.149862,-0.0776416,0.0826005,-0.144424,-0.131003,-0.00173891,0.0120262,Kissler,All,#4682B4,0
51,-0.259763,-0.274308,-3.79536,-3.85099,-0.729906,-0.72817,8.88891,8.88405,-0.00806251,-0.0226066,-0.0105889,-0.0662159,0.136026,0.137761,-0.0034816,-0.00833668,Kissler,All,#4682B4,0
52,-0.243116,-0.230449,-3.91852,-4.00635,-0.584004,-0.525213,8.87614,8.85494,-0.0494988,-0.0368319,-0.133751,-0.221582,0.281928,0.340718,-0.0162495,-0.0374516,Wolfel,All,#4682B4,0
53,-0.16013,-0.167449,-3.71873,-3.74684,-0.0302083,-0.0383091,8.94575,8.90118,0.0334869,0.0261683,0.0660396,0.0379345,0.835723,0.827623,0.0533573,0.00878849,Wolfel,All,#4682B4,0
54,-0.206651,-0.220451,-3.88545,-3.89256,-0.357986,-0.344432,8.87814,8.8731,-0.0130339,-0.0268335,-0.100676,-0.107792,0.507946,0.521499,-0.0142476,-0.0192846,Wolfel,All,#4682B4,0
55,-0.194512,-0.19756,-3.74342,-3.79262,0.0767107,0.0584072,8.91191,8.89078,-0.000895233,-0.00394323,0.0413516,-0.00785011,0.942642,0.924339,0.0195245,-0.00160996,Wolfel,All,#4682B4,0
56,-0.151457,-0.144894,-3.76569,-3.72765,-0.347921,-0.250193,8.92386,8.90755,0.0421602,0.0487237,0.0190869,0.0571259,0.518011,0.615739,0.0314731,0.0151646,Wolfel,All,#4682B4,0
57,-0.207888,-0.213879,-3.76805,-3.85768,-0.586791,-0.541229,8.88054,8.87862,-0.0142712,-0.0202614,0.0167256,-0.0729099,0.279141,0.324703,-0.0118431,-0.0137632,Wolfel,All,#4682B4,0
58,-0.176545,-0.194536,-3.75619,-3.78825,-1.18088,-1.18348,8.88667,8.89166,0.0170719,-0.000918718,0.0285844,-0.00347673,-0.314946,-0.317551,-0.00572118,-0.000728816,Wolfel,All,#4682B4,0
59,-0.191812,-0.221134,-3.91275,-3.90732,-0.118365,-0.243688,8.87673,8.87107,0.00180489,-0.0275169,-0.127976,-0.122544,0.747567,0.622244,-0.0156624,-0.0213165,Wolfel,All,#4682B4,0
60,-0.187204,-0.205537,-3.74779,-3.81559,-0.212536,-0.271473,8.89143,8.88626,0.00641337,-0.0119194,0.0369796,-0.0308209,0.653396,0.594459,-0.000956915,-0.00612406,Wolfel,All,#4682B4,0
